student_id,course_id,instructor_id,classroom_id,timeslot_id,course_code
2facd9b7-5ed9-4e51-90bd-629e3f4286d1,11,6ddac491-3bfa-420a-8098-f3c741f530b6,1,33,HI420
2facd9b7-5ed9-4e51-90bd-629e3f4286d1,22,cff4ee54-8789-46e5-a995-15c0dea35275,11,14,CHEM240
2facd9b7-5ed9-4e51-90bd-629e3f4286d1,2,cd3a4bbc-f36c-4e3d-9158-9a39dcff7644,13,69,ENGR120
2facd9b7-5ed9-4e51-90bd-629e3f4286d1,16,6ddac491-3bfa-420a-8098-f3c741f530b6,22,22,CS370
2facd9b7-5ed9-4e51-90bd-629e3f4286d1,21,449de61b-f2b5-406f-8445-17b960996d0a,20,47,HI230
742bfaf3-68e9-4b41-85f3-1685751eda90,20,57a87455-1a19-4d48-90c9-bd9040670f85,9,4,MDIA220
742bfaf3-68e9-4b41-85f3-1685751eda90,4,a12b297c-6ca7-436c-8318-08b5a05e1eea,1,48,MATH340
742bfaf3-68e9-4b41-85f3-1685751eda90,1,ba2adea1-5399-4c45-9c94-9f26f726f62e,18,15,CHEM210
742bfaf3-68e9-4b41-85f3-1685751eda90,8,79463069-f838-4edd-9438-cdc4c95e75a2,24,71,BUS380
6b97e0b2-327d-4b55-84b7-b77c517fc087,16,8f8ceb3d-7d6a-46cb-8d24-03c5cee108c1,25,54,CS370
6b97e0b2-327d-4b55-84b7-b77c517fc087,17,bf20d0e5-4b79-481a-92d6-3b159ce4d4a0,22,83,PHYS380
6b97e0b2-327d-4b55-84b7-b77c517fc087,20,61b6a185-51b2-47f0-bfa2-7c6615e9e145,21,94,MDIA220
6b97e0b2-327d-4b55-84b7-b77c517fc087,10,d372a3ee-4ff5-48df-a5f2-7da725570f5e,14,84,CHEM310
6b97e0b2-327d-4b55-84b7-b77c517fc087,1,ed65e55c-cdd7-4672-bfd0-37b3a5afd703,4,33,CHEM210
f88fe06a-26db-48b2-8096-66e000259bbf,15,bf20d0e5-4b79-481a-92d6-3b159ce4d4a0,29,93,CHEM160
e8bf1aee-c82e-422f-b7dc-8a3cf7d1ec2b,14,b53f72f1-d162-4f47-a6af-c538db450833,23,6,MGMT350
e8bf1aee-c82e-422f-b7dc-8a3cf7d1ec2b,1,fe8c95dc-f314-472c-a317-83d7bb76fbc9,8,8,CHEM210
f32086f2-c543-4575-a414-6602811c0a9f,18,61b6a185-51b2-47f0-bfa2-7c6615e9e145,14,61,CS200
f32086f2-c543-4575-a414-6602811c0a9f,3,7fa4b44f-6167-4bfe-b42b-5494a85f17c0,22,61,HI130
f32086f2-c543-4575-a414-6602811c0a9f,15,55a493f1-a88a-4fe2-b666-b93388223926,22,66,CHEM160
40e5475b-979f-479b-8104-7e5b106b8d26,19,aec9a7a7-c8be-461b-8047-f0c97726edf1,13,64,CHEM110
40e5475b-979f-479b-8104-7e5b106b8d26,18,fe8c95dc-f314-472c-a317-83d7bb76fbc9,22,45,CS200
40e5475b-979f-479b-8104-7e5b106b8d26,6,c3c774e8-72c0-43bf-8075-97856dc04866,24,30,HI160
0daffcaf-9e60-4ce2-921d-54d5cc46149e,9,59424c88-808c-4285-b95a-607928e016a1,4,19,ENGR300
0daffcaf-9e60-4ce2-921d-54d5cc46149e,15,2086fb93-7036-4127-b46f-14b11794fd56,12,26,CHEM160
0daffcaf-9e60-4ce2-921d-54d5cc46149e,3,8eb8ab26-579c-4927-8866-9f0cfb37824a,28,66,HI130
0daffcaf-9e60-4ce2-921d-54d5cc46149e,2,ba2adea1-5399-4c45-9c94-9f26f726f62e,6,76,ENGR120
0daffcaf-9e60-4ce2-921d-54d5cc46149e,19,61b6a185-51b2-47f0-bfa2-7c6615e9e145,24,30,CHEM110
c1dd54ba-2b93-423a-b50f-009b0f6718d5,12,a12b297c-6ca7-436c-8318-08b5a05e1eea,10,16,MDIA330
c1dd54ba-2b93-423a-b50f-009b0f6718d5,22,21f1397e-1a61-401a-bc67-1e74523bf8d8,20,35,CHEM240
16b18bdf-0831-4bc9-8ef5-06f4e00353f7,18,ba2adea1-5399-4c45-9c94-9f26f726f62e,6,54,CS200
16b18bdf-0831-4bc9-8ef5-06f4e00353f7,2,a12b297c-6ca7-436c-8318-08b5a05e1eea,9,4,ENGR120
16b18bdf-0831-4bc9-8ef5-06f4e00353f7,12,6ddac491-3bfa-420a-8098-f3c741f530b6,25,1,MDIA330
16b18bdf-0831-4bc9-8ef5-06f4e00353f7,6,fc70f172-e0d8-4202-a83b-a8d6cc75de10,12,73,HI160
16b18bdf-0831-4bc9-8ef5-06f4e00353f7,19,1a544d73-a68c-4d6c-8d83-98d999716ab5,24,83,CHEM110
2ec737fa-a96e-4ec7-b9fc-235df87d3658,16,61b6a185-51b2-47f0-bfa2-7c6615e9e145,18,73,CS370
eb55294c-1e87-4233-8b4d-dd4314eb90a9,10,72d8246e-bd38-49b2-88c7-96f11c51f1fb,15,44,CHEM310
36630481-8344-41bc-93f7-0ceb32b3ee34,7,cff4ee54-8789-46e5-a995-15c0dea35275,9,92,BUS370
36630481-8344-41bc-93f7-0ceb32b3ee34,1,aec9a7a7-c8be-461b-8047-f0c97726edf1,24,94,CHEM210
36630481-8344-41bc-93f7-0ceb32b3ee34,3,c0969d1b-26f7-4e83-9b27-3a4a0551f760,8,67,HI130
36630481-8344-41bc-93f7-0ceb32b3ee34,4,0fc1c0b7-84d2-4abf-91e6-e4a36a1436be,12,24,MATH340
